ClientName,Sector,Ticker,Title,Rating,TP
RM259588,Transportation,9301@JT,"三菱倉庫(9301) [N->1] [Report]",Buy,1600.0
RM259588,Real Estate,1414@JT,"建設セクター：2021年の投資視点 - 建築受注は大型案件の寄与をまつ",Buy,560.0
RM259588,Technology Hardware & Equipment,1605@JT,"野村：素材・エネルギーマンスリー：11月 - 自動車や半導体向け中心に概ね好調",Neutral,5950.0
RM259588,Technology Hardware & Equipment,1662@JT,"野村：素材・エネルギーマンスリー：11月 - 自動車や半導体向け中心に概ね好調",Neutral,5950.0
RM259588,Real Estate,1721@JT,"建設セクター：2021年の投資視点 - 建築受注は大型案件の寄与をまつ",Buy,3700.0
RM259588,Real Estate,1801@JT,"建設セクター：2021年の投資視点 - 建築受注は大型案件の寄与をまつ",Buy,4400.0
RM259588,Real Estate,1824@JT,"建設セクター：2021年の投資視点 - 建築受注は大型案件の寄与をまつ",Buy,1100.0
RM259588,Software & Services,1860@JT,"建設セクター：19年7~9月期決算の見方　－　道路舗装、通信工事の業績は堅調と見る",Neutral,770.0
RM259558,Real Estate,1878@JT,"大東建託 (1878 JP) (Neutral) - 2Q:決算にはサプライズなし、受注回復に期待",Neutral,10430.0
RM259588,Software & Services,1881@JT,"建設セクター：19年7~9月期決算の見方　－　道路舗装、通信工事の業績は堅調と見る",Buy,2800.0
